Location,PartNumber,FeederName,Type,Size,FeedPitch,Part Height,Status,Qty,Tray Dir
 1-  2,4.H-0701-43FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,5,--
 1-  3,4.H-0701-27FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,10,--
 1-  4,4.H-0602-12FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1-  5,4.H-0701-121JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,20,--
 1-  6,4.H-0602-473M3C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1-  7,4.H-0502-122JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1-  8,4.H-0602-105M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1-  9,4.H-0602-220J6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1- 10,4.H-0502-000JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,0,--
 1- 11,4.H-0701-101JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,5,--
 1- 12,4.H-0602-470J4A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1- 13,4.H-0502-153JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1- 14,4.H-0602-560J4A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1- 15,4.H-0602-27FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 1- 16,4.H-0502-102JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 1- 17,4.H-0502-152JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1- 18,4.H-0502-511JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 1- 19,4.H-0602-104M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,35,--
 1- 20,4.H-0502-330JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2-  4,4.H-0602-104M2C-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,23,--
 2-  5,4.H-0502-330JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,30,--
 2-  6,4.H-0502-120JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 2-  7,4.H-0602-101K6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,12,--
 2-  8,4.H-0602-100J6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2-  9,4.H-0502-103JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2- 10,4.H-0602-05FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,10,--
 2- 11,4.H-0701-27FSA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,20,--
 2- 12,4.H-0602-18FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 2- 13,4.H-0602-470J4A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,20,--
 2- 14,4.H-0602-68FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 2- 15,4.H-0602-27FC6A-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,15,--
 2- 16,4.H-0502-153JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,5,--
 2- 17,4.H-0502-000JA0-A00,KT-0800F-180,Paper,8mm,2,0.3,Fixed,0,--
 2- 18,4.H-0701-101JA1-006,KT-0800F-180,Paper,8mm,2,0.4,Fixed,5,--
 3-  4,4.H-0602-102M8D-B00,KT-0800F-180,Paper,8mm,2,0.5,Fixed,10,--
